Username,Konten,Lokasi
KDien24,"@geloraco Ya, Sebelum Bicara yang Besar2 Sebaiknya Tuntaskan dulu Hal2 Mendasar &amp; Juga Pemikiran, Ucapan dan Perbuatan Mestilah Sejalan Buk @puanmaharani_ri  Bilang, Mungkin Itu Cukup Bawa Bangsa ini Mandiri, Gemilang dan Terbilang dlm Pengelolaan SDA/SDM yg Di Karunia kan Tuhan Maha Esa",
alamteGarr,WORKLIFE BALANCE ( Kemampuan seseorang dalam menyeimbangkan tanggungjawabnya dalam pekerjaan dan hal yang tidak berkaitan dengan pekerjaan ) Setuju mbak @puanmaharani_ri !,"DKI Jakarta, Indonesia"
alamteGarr,"Saya tidak bermaksud peyoratif atau membela siapapun, probabilitas ibu mbak @puanmaharani_ri beradagium dalam niat yang baik, bila kita menangkap niat baiknya,"" Pengajian seyogyanya membuat seseorang semakin paham, tidak meninggalkan kewajiban &amp; responsible ( tanggung jawabnya )","DKI Jakarta, Indonesia"
PUANnews,"#Emiten Suami Puan (PSKT) Sebut Sektor Perhotelan Bakal Lesu Jelang Puasa - https://t.co/3xOCY6ej6K 
#PuanMaharani

https://t.co/k2KSfN8EZW","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Ratusan Petani Hingga Masyarakat di Bondowoso Serukan ... - https://t.co/HAR1Q9mG6j 
#PuanMaharani

https://t.co/30Abb0NLRm","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Pasar Cik Puan Dilalap Si Jago Merah, Pedagang: Tak Ada yang ... - Riau Online 
#PuanMaharani

https://t.co/QLOtVX3Mol","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Pasar Cik Puan Kebakaran, Puluhan Kios Pedagang Hangus ... - https://t.co/NYnajkWWmK 
#PuanMaharani

https://t.co/YhzYTVuFlL","Gatakrejo, Nguter, Sukoharjo"
FaGtng,@AndisBoga @DPR_RI @puanmaharani_ri Typo... Ketua @DPR_RI,
arie_nieh,@ekokuntadhi1 Mba @puanmaharani_ri ga hadir kenapa?? Apakah P3 berank fight dengan pidp #PuanMaharani #puanpresiden,"East Borneo, Indonesia"
asrunmartin84,"@geloraco Yuppp betul PDIP hrusnya mengusung calon Sendiri tanpa hrus koalisi, Ibu Puan Maharani adalah sosok Soekarnois yg mampu membawa Indonesia LBH baik.",
